songName,isInPlaylist
In Your Eyes,1
False Prophets,1
Rio - 2009 Remaster,1
Blinding Lights,1
This Love I've Met,1
Fantasy,1
Can't Hold Us - feat. Ray Dalton,1
Neighbors,1
Runaway (U & I),1
Pound Cake / Paris Morton Music 2,1
Controlla,1
Owner of a Lonely Heart,1
Oh Devil,1
Adventure of a Lifetime,1
Paradise,1
One Kiss (with Dua Lipa),1
1901,1
Time of our Lives,1
Come & Go (with Marshmello),1
God's Plan,1
I Feel It Coming,1
K.O.,1
Ongoing Thing,1
Resonance,1
I Took A Pill In Ibiza - Seeb Remix,1
Soulful,1
Rock the Casbah - Remastered,1
Save Your Tears,1
Teen Pregnancy,1
Fireflies,1
In The Night,1
Hymn for the Weekend - Seeb Remix,1
Applause,1
The Sweet Escape,1
Pocketful of Sunshine,1
Wet Dreamz,1
0 to 100 / The Catch Up,1
Destination,1
No Role Modelz,1
Levitating (feat. DaBaby),1
All The Stars (with SZA),1
goosebumps,1
Panini,1
Canals,1
Little Talks,1
Starboy,1
SICKO MODE,1
On Your Way Down,1
Pompeii,1
Can't Feel My Face,1
Good Time,1
Life is a Highway - From "Cars"/Soundtrack Version,1
Unwritten,1
Down Under,1
All The Right Moves,1
When The World Is Running Down You Make The Best Of What's Still Around,1
Sleep Well,1
Castles In My Cup,1
This Love,1
Africa,1
Waiting On the World to Change,1
Bad Day,1
Falling Prayer,1
Wake Me Up,1
Rather Be (feat. Jess Glynne),1
Pathfinder,1
everybody dies,1
What Lovers Do (feat. SZA),1
Pumped Up Kicks,1
I Knew You Were Trouble.,1
Wandfarbe,1
Summertime Daydream,1
Whip A Tesla,1
Feel No Ways,1
Raindrops,1
ROXANNE,1
Staying There,1
Under A Smiling Moon,1
All Girls Are The Same,1
Crystal Duration,1
Who Can It Be Now?,1
Pray For Me (with Kendrick Lamar),1
Slow Down,1
One More Night,1
Too Close,1
Timber (feat. Ke$ha),1
Smile (with The Weeknd),1
Move Your Feet,1
Passionfruit,1
It Was A Good Day,1
Headphone Lullaby,1
hot girl bummer,1
Have A Nice Day,1
Maps,1
My Heart Is For You,1
Whitecap (feat. Philanthrope),1
On My Mind,1
Golden,1
Adore You,1
I Just Wanna Shine,1
Heavydirtysoul,1
CITY OF ANGELS,1
Is There Something I Should Know? - 2010 Remaster,1
Champagne and Pools (feat. Blackbear & Kyle),1
You Should Have Known,1
Lucie,1
It Was a Very Good Year,1
Take Five,1
Fly Like An Eagle,1
Hotel California - 2013 Remaster,1
My Simple Thing,1
ebb//flo,1
A View to a Kill,1
More Than a Feeling,1
Baby Pluto,1
Smooth (feat. Rob Thomas),1
DJ Got Us Fallin' In Love (feat. Pitbull),1
Pomegranate,1
Cocktail Lounge,1
Your Favorite Place,1
Safe And Sound,1
Wish I Knew You,1
Get Lucky (feat. Pharrell Williams & Nile Rodgers),1
my ex's best friend (with blackbear),1
Yikes,1
Got That Feeling,1
Trndsttr (feat. M. Maggie) - Lucian Remix,1
I'm On One,1
Welcome to the Rodeo,1
Curtain Call,1
Abracadabra,1
The Hills,1
Crossing Paths,1
Feels (feat. Pharrell Williams Katy Perry & Big Sean),1
Stuck,1
I Was Made For Lovin' You,1
Too Much,1
The Walker,1
